Id,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
1,frozenset({'Bread'}),frozenset({'Pastry'}),0.324939671,0.08551044,0.028958137,0.089118502,1.042194405,0.001172403,1.003961066
2,frozenset({'Pastry'}),frozenset({'Bread'}),0.08551044,0.324939671,0.028958137,0.338650307,1.042194405,0.001172403,1.020731296
3,frozenset({'Cake'}),frozenset({'Coffee'}),0.103137131,0.475081314,0.054348967,0.526958291,1.109195996,0.005350443,1.109666814
4,frozenset({'Coffee'}),frozenset({'Cake'}),0.475081314,0.103137131,0.054348967,0.114399293,1.109195996,0.005350443,1.012716975
5,frozenset({'Cake'}),frozenset({'Tea'}),0.103137131,0.141643059,0.023607177,0.22889115,1.615971516,0.008998518,1.11314627
6,frozenset({'Tea'}),frozenset({'Cake'}),0.141643059,0.103137131,0.023607177,0.166666667,1.615971516,0.008998518,1.076235442
7,frozenset({'Coffee'}),frozenset({'Cookies'}),0.475081314,0.055922778,0.028643374,0.060291519,1.07812096,0.002075507,1.004649039
8,frozenset({'Cookies'}),frozenset({'Coffee'}),0.055922778,0.475081314,0.028643374,0.512195122,1.07812096,0.002075507,1.076083307
9,frozenset({'Coffee'}),frozenset({'Hot chocolate'}),0.475081314,0.057916273,0.02937782,0.061837456,1.067704332,0.001862881,1.004179641
10,frozenset({'Hot chocolate'}),frozenset({'Coffee'}),0.057916273,0.475081314,0.02937782,0.507246377,1.067704332,0.001862881,1.065276158
11,frozenset({'Juice'}),frozenset({'Coffee'}),0.038296086,0.475081314,0.020459553,0.534246575,1.124537127,0.002265798,1.127031297
12,frozenset({'Coffee'}),frozenset({'Juice'}),0.475081314,0.038296086,0.020459553,0.043065371,1.124537127,0.002265798,1.004983919
13,frozenset({'Coffee'}),frozenset({'Medialuna'}),0.475081314,0.061378659,0.034938621,0.073542403,1.198175455,0.005778767,1.013129304
14,frozenset({'Medialuna'}),frozenset({'Coffee'}),0.061378659,0.475081314,0.034938621,0.569230769,1.198175455,0.005778767,1.218561236
15,frozenset({'Pastry'}),frozenset({'Coffee'}),0.08551044,0.475081314,0.047214353,0.552147239,1.162216285,0.006589941,1.172078711
16,frozenset({'Coffee'}),frozenset({'Pastry'}),0.475081314,0.08551044,0.047214353,0.099381625,1.162216285,0.006589941,1.015401846
17,frozenset({'Puff'}),frozenset({'Coffee'}),0.076802014,0.475081314,0.041233868,0.536885246,1.130091272,0.004746667,1.133452739
18,frozenset({'Coffee'}),frozenset({'Puff'}),0.475081314,0.076802014,0.041233868,0.086793286,1.130091272,0.004746667,1.010940865
19,frozenset({'Sandwich'}),frozenset({'Coffee'}),0.071346134,0.475081314,0.037981324,0.532352941,1.120551211,0.004086109,1.122467631
20,frozenset({'Coffee'}),frozenset({'Sandwich'}),0.475081314,0.071346134,0.037981324,0.079946996,1.120551211,0.004086109,1.009348225
21,frozenset({'Toast'}),frozenset({'Coffee'}),0.03336481,0.475081314,0.023502256,0.704402516,1.482698847,0.007651258,1.775788748
22,frozenset({'Coffee'}),frozenset({'Toast'}),0.475081314,0.03336481,0.023502256,0.049469965,1.482698847,0.007651258,1.016943342
